1	12 
2	5 
3	6 
4	19 
5	13 
6	12 
7	10 
8	12 
9	12 
10	10 
11	7 
12	1 
13	10 
14	9 
15	17 
16	2 
17	1 
18	10 
19	8 
20	7 
21	2 
22	3 
23	14 
24	10 
25	12 
26	19 
27	2 
28	1 
29	5 
30	5 
31	20 
32	1 
33	15 
34	15 
35	20 
36	6 
37	8 
38	19 
39	15 
40	6 
41	10 
42	15 
43	1 
44	10 
45	20 
46	10 
47	14 
48	15 
49	1 
50	2 
51	10 
52	14 
53	20 
54	14 
55	20 
56	12 
57	18 
58	12 
59	20 
60	7 
61	1 
62	8 
63	12 
64	12 
65	17 
66	2 
67	10 
68	6 
69	1 
70	5 
71	19 
72	1 
73	10 
74	9 
75	10 
76	16 
77	19 
78	14 
79	20 
80	2 
81	10 
82	5 
83	14 
84	15 
85	12 
86	12 
87	6 
88	14 
89	5 
90	6 
91	9 
92	12 
93	4 
94	19 
95	20 
96	1 
97	12 
98	7 
99	8 
100	2 
101	18 
102	15 
103	20 
104	4 
105	5 
106	10 
107	5 
108	17 
109	1 
110	20 
111	19 
112	20 
113	19 
114	19 
115	11 
116	20 
117	19 
118	8 
119	5 
120	18 
121	5 
122	6 
123	16 
124	10 
125	1 
126	3 
127	12 
128	1 
129	19 
130	6 
131	15 
132	12 
133	9 
134	12 
135	6 
136	12 
137	1 
138	20 
139	7 
140	14 
141	6 
142	12 
143	8 
144	2 
145	6 
146	13 
147	12 
148	4 
149	6 
150	19 
151	2 
152	1 
153	10 
154	12 
155	5 
156	20 
157	10 
158	15 
159	14 
160	19 
161	6 
162	2 
163	2 
164	2 
165	10 
166	5 
167	6 
168	15 
169	1 
170	6 
171	11 
172	14 
173	19 
174	7 
175	5 
176	15 
177	1 
178	8 
179	20 
180	1 
181	13 
182	5 
183	2 
184	3 
185	19 
186	13 
187	10 
188	19 
189	10 
190	11 
191	15 
192	8 
193	9 
194	10 
195	5 
196	8 
197	5 
198	12 
199	19 
200	19 
201	5 
202	6 
203	1 
204	9 
205	12 
206	4 
207	9 
208	19 
209	15 
210	19 
211	15 
212	5 
213	5 
214	6 
215	8 
216	19 
217	2 
218	18 
219	19 
220	14 
221	1 
222	11 
223	8 
224	3 
225	6 
226	14 
227	9 
228	1 
229	5 
230	20 
231	12 
232	8 
233	7 
234	9 
235	19 
236	6 
237	15 
238	5 
239	12 
240	6 
241	6 
242	20 
243	5 
244	9 
245	15 
246	12 
247	10 
248	16 
249	20 
250	13 
251	20 
252	2 
253	15 
254	15 
255	6 
256	14 
257	5 
258	1 
259	1 
260	8 
261	1 
262	8 
263	19 
264	13 
265	5 
266	9 
267	20 
268	1 
269	16 
270	12 
271	16 
272	3 
273	3 
274	1 
275	12 
276	5 
277	13 
278	5 
279	19 
280	14 
281	12 
282	7 
283	12 
284	19 
285	10 
286	6 
287	1 
288	15 
289	6 
290	1 
291	7 
292	10 
293	19 
294	15 
295	13 
296	16 
297	20 
298	7 
299	15 
300	10 
301	6 
302	1 
303	1 
304	13 
305	15 
306	10 
307	10 
308	1 
309	20 
310	12 
311	13 
312	10 
313	1 
314	8 
315	10 
316	12 
317	20 
318	5 
319	19 
320	10 
321	6 
322	1 
323	14 
324	12 
325	10 
326	15 
327	7 
328	1 
329	8 
330	10 
331	8 
332	12 
333	5 
334	6 
335	6 
336	10 
337	6 
338	14 
339	6 
340	15 
341	14 
342	6 
343	1 
344	20 
345	1 
346	15 
347	10 
348	19 
349	5 
350	1 
351	15 
352	8 
353	6 
354	20 
355	10 
356	20 
357	6 
358	10 
359	20 
360	12 
361	10 
362	12 
363	1 
364	6 
365	15 
366	20 
367	20 
368	1 
369	1 
370	8 
371	15 
372	19 
373	10 
374	6 
375	10 
376	10 
377	20 
378	8 
379	6 
380	10 
381	10 
382	15 
383	10 
384	10 
385	6 
386	5 
387	6 
388	12 
389	12 
390	19 
391	15 
392	20 
393	1 
394	12 
395	20 
396	1 
397	10 
398	1 
399	1 
400	1 
