# Nodes: 400, Edges: 1130, Weighted: 1
1	354	0.0140352
1	389	2.74077
2	89	0.729624
2	386	2.62396
3	374	1.04088
3	379	1.50479
4	355	0.416314
4	390	2.74123
5	250	1.0099
5	311	1.53569
6	388	1.08735
6	394	1.84584
7	381	0.0554616
7	397	2.49821
8	389	1.17725
8	394	1.76029
9	388	1.08735
9	394	1.84584
10	375	0.0990674
10	383	2.44966
11	233	0.502174
11	327	2.04339
12	166	0.519615
12	400	2.69848
13	361	0.0337228
13	376	2.51808
14	193	1.76785
14	234	0.772321
15	65	1.27279
15	108	1.27279
16	183	2.48531
16	389	0.0615722
17	399	0.974283
17	400	1.87368
18	381	0.0554616
18	397	2.49821
19	370	0.873453
19	378	1.71389
20	298	0.789534
20	327	1.75604
21	50	1.1887
21	252	1.35134
22	224	1.45175
22	272	1.10207
23	159	0.337897
23	341	2.26198
24	380	0.594862
24	384	1.95576
25	388	1.37807
25	389	1.55352
26	365	5.80948
26	390	2.74123
27	100	0.297468
27	164	2.32153
28	209	0.519615
28	400	2.69848
29	278	0.0520601
29	386	3.10355
30	182	2.1258
30	393	1.74112
31	383	3.33431
31	395	2.60654
32	399	0.974283
32	400	1.87368
33	371	0.364305
33	391	2.23265
34	382	0.686659
34	391	1.92163
35	392	1.051
35	395	1.61418
36	385	1.33134
36	387	1.21443
37	378	2.56959
37	397	2.1912
38	348	0.149992
38	390	2.84693
39	365	0.0146366
39	391	2.57253
40	387	2.54568
40	394	0.0841764
41	380	0.00330264
41	397	2.54731
42	365	0.0146366
42	391	2.57253
43	399	0.974283
43	400	1.87368
44	373	0.344335
44	380	2.20384
45	392	1.051
45	395	1.61418
46	384	0.00769273
46	397	2.54542
47	83	0.887082
47	338	1.74532
48	382	0.686659
48	391	1.92163
49	399	0.974283
49	400	1.87368
50	252	1.34743
51	383	0.0482819
51	397	2.50277
52	226	1.5974
52	338	1.035
53	386	0.0146881
53	395	2.60654
54	256	0.531204
54	323	1.95817
55	392	1.051
55	395	1.61418
56	388	1.08735
56	394	1.84584
57	218	2.54561
57	358	1.60844
58	389	1.17725
58	394	1.76029
59	392	1.051
59	395	1.61418
60	174	0.411759
60	282	2.13383
61	399	0.974283
61	400	1.87368
62	71	0.282843
62	378	2.56959
63	389	1.17725
63	394	1.76029
64	276	1.11803
64	389	2.74077
65	108	1.27279
66	144	0.238476
66	183	2.19122
67	381	0.0554616
67	397	2.49821
68	379	0.96956
68	387	1.57617
69	399	0.974283
69	400	1.87368
70	197	0.0974904
70	386	3.05812
71	390	2.74123
72	339	2.7
72	400	2.69848
73	376	0.0615282
73	397	2.49082
74	91	1.66317
74	207	0.883037
75	381	0.0554616
75	397	2.49821
76	269	1.56345
76	296	0.982141
77	200	0.0553467
77	390	2.85635
78	256	0.531204
78	323	1.95817
79	392	1.051
79	395	1.61418
80	163	0.273541
80	252	2.26258
81	384	0.00769273
81	397	2.54542
82	349	0.133422
82	386	3.06309
83	280	1.61995
84	371	0.364305
84	391	2.23265
85	388	1.08735
85	394	1.84584
86	262	0.8
86	389	2.74077
87	364	0.0451255
87	379	2.50048
88	220	0.100143
88	338	2.57342
89	276	1.39104
90	379	0.911094
90	385	1.63462
91	207	0.883614
92	388	1.08735
92	394	1.84584
93	104	1.48013
93	206	1.06545
94	370	0.168719
94	390	2.74123
